description,amenities,averageRating,booking_count,likes,dislikes,price,comments
Turf with advanced technology for booking and scheduling.,"['wifi', 'cafe', 'firstaid']",3.5,267,221,1,49,Overpriced for the facilities provided.
Perfect for family get-togethers with all basic amenities.,"['wifi', 'parking', 'restroom']",2.4,232,242,22,38,"Needs improvement, not up to expectations."
"Turf with premium-quality grass, suitable for all types of sports.","['wifi', 'cafe', 'firstaid']",1.5,264,205,43,50,Highly recommended for sports enthusiasts.
Flexible turf that can be used for multiple sports.,"['wifi', 'showers', 'lockers']",3.7,157,474,1,79,Staff was not very helpful.
Compact yet versatile turf with well-maintained facilities.,"['parking', 'firstaid', 'cafe']",3.1,88,404,37,79,Turf was too crowded and noisy.
Turf that offers great value for large bookings.,"['parking', 'locker']",4.1,64,459,16,38,Highly recommended for sports enthusiasts.
"Good location, well-maintained turf with affordable rates.","['wifi', 'parking', 'restroom']",3.1,169,416,34,68,Excellent services and well-organized.
Affordable but great location for training camps.,"['wifi', 'showers', 'lockers']",4.4,290,222,33,82,"Good value for the price, will book again."
Top-notch turf with eco-friendly amenities and practices.,"['restroom', 'firstaid', 'cafe', 'wifi']",3.2,53,489,22,41,Turf was okay but could be cleaner.
Turf with amazing pitch quality and friendly staff.,"['wifi', 'cafe', 'firstaid']",3.2,142,108,29,43,Outstanding quality and friendly staff.
Clean and modern turf for all your sports needs.,"['wifi', 'locker', 'parking', 'cafe']",4.5,263,361,7,95,Overpriced for the facilities provided.
Professional turf with excellent pitch quality.,"['wifi', 'locker', 'parking', 'cafe']",2.6,202,172,21,49,"Needs improvement, not up to expectations."
Sporty turf with a great social atmosphere.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.5,190,458,43,77,"Good value for the price, will book again."
Turf with amazing pitch quality and friendly staff.,"['restroom', 'locker', 'showers']",1.1,259,322,35,50,"Good value for the price, will book again."
"Turf with premium-quality grass, suitable for all types of sports.","['parking', 'locker']",4.0,210,140,4,83,Turf was okay but could be cleaner.
Family-friendly venue with nearby amenities.,"['parking', 'locker', 'wifi']",3.5,65,469,12,38,"Could use better maintenance, average experience."
Simple turf with good atmosphere for local sports leagues.,"['parking', 'locker']",3.8,286,303,28,67,"Limited facilities, not worth the price."
Turf that offers great value for large bookings.,"['parking', 'locker', 'wifi']",1.9,219,363,30,64,Great location with easy parking access.
Comfortable turf with all-season grass.,"['wifi', 'cafe', 'firstaid']",1.5,157,427,46,74,"Limited facilities, not worth the price."
Spacious turf with comfortable seating and great accessibility.,"['wifi', 'locker', 'parking', 'cafe']",1.1,175,277,15,74,Turf was too crowded and noisy.
Turf with high-end lighting system and regular maintenance.,"['parking', 'locker', 'wifi']",2.4,243,447,41,37,Parking is limited and inconvenient.
Comfortable and clean turf with modern facilities.,"['restroom', 'locker', 'showers']",3.4,104,417,29,82,Turf was too crowded and noisy.
Versatile turf with different surface types for various sports.,"['wifi', 'parking', 'restroom']",2.6,276,183,15,66,"Needs improvement, not up to expectations."
Well-known turf with spacious fields for large events.,"['wifi', 'showers', 'lockers']",2.7,219,417,11,94,Amenities were not as advertised.
Ideal for indoor/outdoor sports and fitness activities.,"['parking', 'firstaid', 'cafe']",4.6,83,210,16,76,Amenities were not as advertised.
"Turf with premium grass, suitable for all types of games.","['restroom', 'firstaid', 'cafe', 'wifi']",2.4,207,350,15,64,Amenities were not as advertised.
Budget-friendly option with basic amenities.,"['restroom', 'firstaid', 'cafe', 'wifi']",3.1,296,482,11,52,Amenities were not as advertised.
Newly renovated turf with modern facilities.,"['wifi', 'showers', 'lockers']",4.1,62,106,7,36,Outstanding quality and friendly staff.
Turf with great support for event hosting.,"['parking', 'locker', 'wifi']",2.6,190,183,19,89,Turf was too crowded and noisy.
"Turf with all-weather playing surfaces, great for outdoor games.","['wifi', 'showers', 'lockers']",3.5,67,307,2,23,Outstanding quality and friendly staff.
"Safe, secure turf with friendly staff for events.","['wifi', 'showers', 'lockers']",4.4,209,487,15,39,Turf was too crowded and noisy.
Popular venue for corporate and team events with all amenities included.,"['parking', 'locker']",4.8,145,489,29,66,Perfect for weekend games with friends.
Large turf with room for large-scale events.,"['restroom', 'locker', 'showers']",1.6,276,413,44,34,"Needs improvement, not up to expectations."
Perfect for community sports and socializing events.,"['wifi', 'parking', 'restroom']",4.7,172,121,22,89,Ideal for family gatherings and events.
Premium turf with modern facilities and professional-grade grass.,"['wifi', 'locker', 'parking', 'cafe']",3.0,88,482,27,66,Excellent services and well-organized.
Large turf with room for large-scale events.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.0,95,102,39,97,Perfect for weekend games with friends.
"Turf with soundproofed surroundings, ideal for events.","['parking', 'firstaid', 'cafe']",2.8,293,226,4,94,Amenities were not as advertised.
Spacious turf with comfortable seating and great accessibility.,"['parking', 'locker', 'wifi']",4.9,78,396,19,28,"Enjoyed playing here, will come back."
Turf with adequate seating and viewing areas.,"['parking', 'locker']",3.0,239,287,39,35,"Needs improvement, not up to expectations."
Ideal turf for school tournaments and local leagues.,"['parking', 'firstaid', 'cafe']",2.3,290,461,43,88,The turf is well-maintained and clean.
Top-notch turf with eco-friendly amenities and practices.,"['wifi', 'locker', 'parking', 'cafe']",3.5,270,113,0,80,Ideal for family gatherings and events.
Well-kept turf with all necessary facilities.,"['wifi', 'cafe', 'firstaid']",2.0,111,111,29,29,Turf was okay but could be cleaner.
Turf for professional teams and local leagues.,"['wifi', 'showers', 'lockers']",1.3,294,186,20,69,"Good value for the price, will book again."
"Turf with premium grass, suitable for all types of games.","['parking', 'locker']",1.5,285,111,19,22,"Needs improvement, not up to expectations."
Versatile turf with different surface types for various sports.,"['wifi', 'locker', 'parking', 'cafe']",1.5,234,496,5,96,Turf was too crowded and noisy.
Great atmosphere and top-notch maintenance.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.6,65,124,21,89,The turf is well-maintained and clean.
"Spacious, modern turf with top-tier facilities.","['wifi', 'parking', 'restroom']",1.6,233,400,17,70,Excellent services and well-organized.
Modern turf with good safety measures.,"['parking', 'locker']",3.6,285,342,7,38,Turf was too crowded and noisy.
Top-notch turf with eco-friendly amenities and practices.,"['wifi', 'parking', 'restroom']",1.7,288,221,38,61,Excellent services and well-organized.
Outdoor turf for sports lovers and fitness enthusiasts.,"['parking', 'locker']",2.4,170,246,31,54,Outstanding quality and friendly staff.
Convenient and clean turf for community use.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.6,59,154,32,65,"Good value for the price, will book again."
Turf that offers great value for large bookings.,"['parking', 'locker', 'wifi']",2.9,207,337,15,45,Parking is limited and inconvenient.
High-quality turf with strong drainage system.,"['firstaid', 'cafe', 'parking']",3.7,202,455,11,88,Overpriced for the facilities provided.
Turf with high-end lighting system and regular maintenance.,"['wifi', 'showers', 'lockers']",1.7,152,272,37,83,"Needs improvement, not up to expectations."
Turf with advanced technology for booking and scheduling.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.8,133,491,33,56,"Limited facilities, not worth the price."
Ideal for all levels of competition and training.,"['wifi', 'cafe', 'firstaid']",1.2,182,320,13,68,"Could use better maintenance, average experience."
Great for evening games with floodlights.,"['restroom', 'locker', 'showers']",1.7,114,218,35,40,Ideal for family gatherings and events.
Turf with great support for event hosting.,"['parking', 'firstaid', 'cafe']",2.1,271,408,32,93,"Enjoyed playing here, will come back."
Spacious and clean turf for large tournaments.,"['restroom', 'locker', 'showers']",1.7,226,282,22,83,Amenities were not as advertised.
Great turf for training camps and local competitions.,"['parking', 'firstaid', 'cafe']",1.4,52,387,49,24,The turf is well-maintained and clean.
Compact turf with essential facilities and affordable rates.,"['parking', 'locker', 'wifi']",1.5,222,406,44,89,Excellent services and well-organized.
Modern turf with good safety measures.,"['wifi', 'locker', 'parking', 'cafe']",2.8,191,399,1,23,Great location with easy parking access.
Premium turf for corporate team-building events.,"['wifi', 'parking', 'restroom']",1.8,169,181,40,58,"Could use better maintenance, average experience."
Compact turf with good pricing and well-maintained.,"['parking', 'locker', 'wifi']",2.5,207,310,20,54,Ideal for family gatherings and events.
Conveniently located turf with nearby public transport.,"['wifi', 'cafe', 'firstaid']",3.0,291,249,1,20,The turf is well-maintained and clean.
Spacious and clean turf for large tournaments.,"['parking', 'locker']",3.8,117,136,26,43,Turf was okay but could be cleaner.
Ideal turf for school tournaments and local leagues.,"['parking', 'locker', 'wifi']",1.2,195,451,8,76,The turf is well-maintained and clean.
Turf with amazing facilities and quiet surroundings.,"['parking', 'locker', 'wifi']",4.2,239,411,0,89,"Enjoyed playing here, will come back."
"Perfect location for evening games, with floodlights.","['parking', 'firstaid', 'cafe']",3.5,86,460,10,60,Parking is limited and inconvenient.
"Clean and tidy turf, great for social events.","['restroom', 'locker', 'showers']",1.3,202,158,2,73,Outstanding quality and friendly staff.
"Safe, secure turf with friendly staff for events.","['firstaid', 'cafe', 'parking']",4.5,225,230,22,65,Parking is limited and inconvenient.
Newly renovated turf with modern facilities.,"['wifi', 'showers', 'lockers']",4.7,242,301,25,79,Lacks proper lighting for evening games.
Affordable and convenient turf with nearby food outlets.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.2,230,342,3,79,Amazing experience with great amenities!
High-quality turf with excellent lighting and ample parking.,"['wifi', 'cafe', 'firstaid']",2.1,287,134,17,76,Overpriced for the facilities provided.
Compact turf with essential facilities and affordable rates.,"['parking', 'firstaid', 'cafe']",4.2,256,192,5,50,Perfect for weekend games with friends.
Good value turf with a reputation for cleanliness.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.0,122,306,34,43,Turf was okay but could be cleaner.
Convenient turf with all basic amenities.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.7,192,452,21,55,"Enjoyed playing here, will come back."
Top-notch turf with eco-friendly amenities and practices.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.8,98,490,42,49,Turf was too crowded and noisy.
Comfortable and clean turf with modern facilities.,"['parking', 'firstaid', 'cafe']",2.5,170,431,14,43,Outstanding quality and friendly staff.
Versatile turf for all kinds of local sports events.,"['wifi', 'locker', 'parking', 'cafe']",2.9,137,404,21,49,Highly recommended for sports enthusiasts.
"Spacious, modern turf with top-tier facilities.","['wifi', 'locker', 'parking', 'cafe']",3.5,245,449,36,26,Ideal for family gatherings and events.
Great for evening games with floodlights.,"['wifi', 'locker', 'parking', 'cafe']",2.5,189,312,41,54,Highly recommended for sports enthusiasts.
Budget turf for small team events and casual matches.,"['parking', 'locker', 'wifi']",2.9,236,258,11,74,The turf is well-maintained and clean.
Wide turf with multiple facilities and great lighting.,"['wifi', 'showers', 'lockers']",4.0,299,123,46,33,Amazing experience with great amenities!
Budget turf for small team events and casual matches.,"['wifi', 'cafe', 'firstaid']",1.1,86,392,48,29,"Good value for the price, will book again."
Ideal location for birthday parties and family events.,"['parking', 'locker', 'wifi']",2.0,110,103,41,99,Lacks proper lighting for evening games.
Turf with comfortable seating and shaded areas.,"['parking', 'locker']",3.9,278,319,37,35,"Could use better maintenance, average experience."
"Outdoor turf with spectacular views, perfect for events.","['restroom', 'firstaid', 'cafe', 'wifi']",4.6,220,463,17,73,"Good value for the price, will book again."
High-quality turf with strong drainage system.,"['firstaid', 'cafe', 'parking']",3.0,173,481,44,96,Perfect for weekend games with friends.
Turf suitable for any kind of local or international event.,"['parking', 'locker', 'wifi']",3.1,247,119,34,89,Outstanding quality and friendly staff.
Premium turf for corporate team-building events.,"['firstaid', 'cafe', 'parking']",1.4,88,251,29,63,"Good value for the price, will book again."
"Ideal turf for football, cricket, and other sports.","['parking', 'locker', 'wifi']",2.8,233,149,23,92,Lacks proper lighting for evening games.
Outdoor turf for sports lovers and fitness enthusiasts.,"['parking', 'locker', 'wifi']",3.1,112,276,41,64,Staff was not very helpful.
Turf with amazing facilities and quiet surroundings.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.0,95,195,29,75,The turf is well-maintained and clean.
Premium turf for corporate team-building events.,"['wifi', 'parking', 'restroom']",2.1,137,204,13,76,Parking is limited and inconvenient.
Premium turf for corporate team-building events.,"['wifi', 'cafe', 'firstaid']",2.5,60,349,5,40,The turf is well-maintained and clean.
Clean and modern turf for all your sports needs.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.1,111,216,2,87,Great location with easy parking access.
"Turf with soundproofed surroundings, ideal for events.","['parking', 'locker']",2.3,126,453,15,69,"Limited facilities, not worth the price."
Well-known turf with spacious fields for large events.,"['firstaid', 'cafe', 'parking']",1.8,275,327,6,52,The turf is well-maintained and clean.
Stylish turf with relaxing environment.,"['wifi', 'locker', 'parking', 'cafe']",2.3,202,165,13,26,"Enjoyed playing here, will come back."
Turf with multiple seating arrangements.,"['restroom', 'locker', 'showers']",1.5,248,434,8,89,Staff was not very helpful.
Well-maintained turf with well-designed infrastructure.,"['wifi', 'cafe', 'firstaid']",4.6,101,361,14,34,Overpriced for the facilities provided.
Ideal for indoor/outdoor sports and fitness activities.,"['restroom', 'locker', 'showers']",3.4,53,394,20,51,"Limited facilities, not worth the price."
Ideal for all levels of competition and training.,"['restroom', 'locker', 'showers']",3.7,108,342,34,94,Ideal for family gatherings and events.
"Compact, clean turf with quick booking process.","['parking', 'firstaid', 'cafe']",4.2,121,470,1,39,Turf was okay but could be cleaner.
Convenient turf with all basic amenities.,"['parking', 'locker', 'wifi']",3.0,197,285,26,34,Perfect for weekend games with friends.
"Compact, clean turf with quick booking process.","['wifi', 'locker', 'parking', 'cafe']",1.3,142,345,1,67,"Needs improvement, not up to expectations."
Turf for team-building exercises and group games.,"['wifi', 'locker', 'parking', 'cafe']",3.1,112,224,34,90,"Limited facilities, not worth the price."
"Affordable turf, great for casual matches and local tournaments.","['wifi', 'cafe', 'firstaid']",3.3,103,367,17,40,Staff was not very helpful.
Good value turf with a reputation for cleanliness.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.0,166,230,13,61,Great location with easy parking access.
Turf with amazing facilities and quiet surroundings.,"['wifi', 'showers', 'lockers']",2.7,292,336,19,45,Outstanding quality and friendly staff.
Turf with amazing pitch quality and friendly staff.,"['wifi', 'showers', 'lockers']",1.5,286,117,17,33,Perfect for weekend games with friends.
Affordable but great location for training camps.,"['firstaid', 'cafe', 'parking']",2.1,159,139,9,76,Great location with easy parking access.
Convenient location with wide turf for sports.,"['wifi', 'cafe', 'firstaid']",2.5,123,120,24,56,Excellent services and well-organized.
Budget turf for small team events and casual matches.,"['parking', 'firstaid', 'cafe']",3.6,156,498,1,77,Parking is limited and inconvenient.
Family-friendly environment with clean facilities.,"['wifi', 'cafe', 'firstaid']",3.3,275,324,24,40,Staff was not very helpful.
Turf with amazing facilities and quiet surroundings.,"['wifi', 'showers', 'lockers']",2.4,106,454,32,88,Overpriced for the facilities provided.
Wide turf with multiple facilities and great lighting.,"['wifi', 'cafe', 'firstaid']",4.9,267,381,35,22,Lacks proper lighting for evening games.
Conveniently located turf with nearby public transport.,"['parking', 'firstaid', 'cafe']",3.4,218,107,30,56,Great location with easy parking access.
Turf suitable for high-intensity training and matches.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.9,290,199,13,68,"Limited facilities, not worth the price."
Family-friendly environment with clean facilities.,"['wifi', 'cafe', 'firstaid']",1.4,299,339,0,38,Overpriced for the facilities provided.
Affordable and convenient turf with nearby food outlets.,"['parking', 'locker']",1.6,52,186,45,31,"Limited facilities, not worth the price."
Family-friendly environment with clean facilities.,"['wifi', 'parking', 'restroom']",2.0,169,397,15,80,Excellent services and well-organized.
Turf with great support for event hosting.,"['parking', 'locker']",1.6,55,113,45,60,Overpriced for the facilities provided.
Family-friendly environment with clean facilities.,"['wifi', 'locker', 'parking', 'cafe']",1.7,54,433,2,52,Excellent services and well-organized.
Popular venue for corporate and team events with all amenities included.,"['firstaid', 'cafe', 'parking']",2.1,54,101,34,69,Staff was not very helpful.
Large turf with room for large-scale events.,"['wifi', 'parking', 'restroom']",1.7,103,474,40,87,Staff was not very helpful.
"Budget-friendly, convenient turf for training camps.","['parking', 'firstaid', 'cafe']",4.6,96,392,5,90,Turf was too crowded and noisy.
Ideal for all levels of competition and training.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.3,264,424,24,52,Lacks proper lighting for evening games.
Spacious turf with ample seating and dining options.,"['wifi', 'cafe', 'firstaid']",3.1,226,140,12,43,Turf was okay but could be cleaner.
Versatile turf with different surface types for various sports.,"['parking', 'locker']",2.6,58,417,33,80,Amazing experience with great amenities!
Perfect place for local community sports games.,"['wifi', 'cafe', 'firstaid']",4.9,148,415,7,80,Lacks proper lighting for evening games.
Great turf for training camps and local competitions.,"['wifi', 'parking', 'restroom']",1.4,69,480,20,47,Lacks proper lighting for evening games.
Perfect for family get-togethers with all basic amenities.,"['wifi', 'locker', 'parking', 'cafe']",2.6,171,210,33,77,The turf is well-maintained and clean.
Great atmosphere and top-notch maintenance.,"['wifi', 'parking', 'restroom']",4.9,290,113,3,62,"Good value for the price, will book again."
Turf suitable for group sports and tournaments.,"['parking', 'locker', 'wifi']",4.5,110,330,24,60,Overpriced for the facilities provided.
Turf for team-building exercises and group games.,"['wifi', 'parking', 'restroom']",4.3,172,183,14,58,Parking is limited and inconvenient.
Comfortable turf with quick booking system.,"['wifi', 'showers', 'lockers']",2.0,283,229,3,68,Outstanding quality and friendly staff.
Newly installed turf with great maintenance.,"['wifi', 'cafe', 'firstaid']",1.7,212,330,44,36,Highly recommended for sports enthusiasts.
"Spacious, modern turf with top-tier facilities.","['parking', 'locker']",3.7,227,425,11,89,Staff was not very helpful.
Turf with good quality artificial grass for training.,"['firstaid', 'cafe', 'parking']",4.7,131,244,31,89,Highly recommended for sports enthusiasts.
Great venue with many facilities and staff assistance.,"['wifi', 'cafe', 'firstaid']",3.2,111,478,31,84,Great location with easy parking access.
"Affordable turf, great for casual matches and local tournaments.","['firstaid', 'cafe', 'parking']",3.3,194,444,27,93,Parking is limited and inconvenient.
Comfortable and clean turf with modern facilities.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.1,265,127,12,24,The turf is well-maintained and clean.
Budget turf for small team events and casual matches.,"['parking', 'firstaid', 'cafe']",4.1,52,165,30,21,The turf is well-maintained and clean.
Wide turf with multiple facilities and great lighting.,"['wifi', 'locker', 'parking', 'cafe']",1.7,209,262,13,41,Ideal for family gatherings and events.
Well-maintained turf with well-designed infrastructure.,"['parking', 'locker', 'wifi']",2.3,276,328,19,76,Great location with easy parking access.
Turf suitable for high-intensity training and matches.,"['wifi', 'cafe', 'firstaid']",2.7,279,360,17,85,Amazing experience with great amenities!
Turf for professional teams and local leagues.,"['wifi', 'locker', 'parking', 'cafe']",3.0,62,263,28,93,Great location with easy parking access.
"Safe, secure turf with friendly staff for events.","['wifi', 'parking', 'restroom']",2.0,169,400,5,35,Outstanding quality and friendly staff.
Ideal for all levels of competition and training.,"['wifi', 'showers', 'lockers']",1.5,174,402,31,70,Parking is limited and inconvenient.
"Turf with artificial grass, ideal for all-weather games.","['firstaid', 'cafe', 'parking']",3.4,288,386,28,58,Ideal for family gatherings and events.
Versatile turf for all kinds of local sports events.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.2,138,494,42,95,The turf is well-maintained and clean.
"Clean and tidy turf, great for social events.","['parking', 'locker', 'wifi']",3.3,122,109,1,59,The turf is well-maintained and clean.
Well-maintained turf with locker rooms and showers.,"['firstaid', 'cafe', 'parking']",1.6,117,294,22,57,"Needs improvement, not up to expectations."
Comfortable and clean turf with modern facilities.,"['restroom', 'firstaid', 'cafe', 'wifi']",2.9,191,217,18,79,Overpriced for the facilities provided.
Easy-to-book turf with simple user interface.,"['wifi', 'showers', 'lockers']",3.1,150,369,30,78,Turf was okay but could be cleaner.
Comfortable turf with all-season grass.,"['firstaid', 'cafe', 'parking']",1.2,147,179,4,29,Amazing experience with great amenities!
Family-friendly environment with clean facilities.,"['wifi', 'cafe', 'firstaid']",2.3,60,192,18,83,Lacks proper lighting for evening games.
Popular venue for corporate and team events with all amenities included.,"['wifi', 'cafe', 'firstaid']",1.5,154,365,33,82,Amazing experience with great amenities!
Ideal for all levels of competition and training.,"['wifi', 'locker', 'parking', 'cafe']",1.3,233,431,9,68,Turf was okay but could be cleaner.
Ideal turf for school tournaments and local leagues.,"['firstaid', 'cafe', 'parking']",5.0,116,449,24,83,Highly recommended for sports enthusiasts.
"Perfect location for evening games, with floodlights.","['wifi', 'showers', 'lockers']",2.3,172,460,1,51,Staff was not very helpful.
Turf with high-end lighting system and regular maintenance.,"['wifi', 'showers', 'lockers']",4.2,269,356,10,26,Perfect for weekend games with friends.
"Clean and tidy turf, great for social events.","['wifi', 'cafe', 'firstaid']",2.0,78,232,49,40,Excellent services and well-organized.
Ideal turf for school tournaments and local leagues.,"['parking', 'firstaid', 'cafe']",3.7,186,375,30,39,Turf was too crowded and noisy.
Large turf with room for large-scale events.,"['wifi', 'cafe', 'firstaid']",4.0,244,363,14,45,"Needs improvement, not up to expectations."
Great for casual matches and corporate events.,"['restroom', 'locker', 'showers']",3.4,202,270,8,87,The turf is well-maintained and clean.
Turf for team-building exercises and group games.,"['wifi', 'showers', 'lockers']",2.9,275,100,22,34,Staff was not very helpful.
Turf with multiple seating arrangements.,"['parking', 'firstaid', 'cafe']",2.6,125,412,18,98,"Enjoyed playing here, will come back."
Family-friendly environment with clean facilities.,"['parking', 'firstaid', 'cafe']",2.4,219,163,8,33,"Limited facilities, not worth the price."
"Safe, secure turf with friendly staff for events.","['wifi', 'showers', 'lockers']",4.7,58,473,34,46,Highly recommended for sports enthusiasts.
Well-known turf with spacious fields for large events.,"['restroom', 'locker', 'showers']",4.3,256,383,20,59,Turf was okay but could be cleaner.
Easy-to-book turf with simple user interface.,"['wifi', 'locker', 'parking', 'cafe']",4.9,89,220,8,77,Lacks proper lighting for evening games.
"Clean and tidy turf, great for social events.","['firstaid', 'cafe', 'parking']",1.5,74,206,27,47,Turf was too crowded and noisy.
Great venue with many facilities and staff assistance.,"['restroom', 'locker', 'showers']",3.9,54,274,45,45,Turf was okay but could be cleaner.
Well-maintained turf with well-designed infrastructure.,"['wifi', 'showers', 'lockers']",4.8,188,303,6,82,"Good value for the price, will book again."
Turf with great accessibility for both players and spectators.,"['wifi', 'showers', 'lockers']",1.7,236,264,15,85,Amenities were not as advertised.
Turf for professional teams and local leagues.,"['wifi', 'showers', 'lockers']",1.3,275,404,15,44,Ideal for family gatherings and events.
Large turf with room for large-scale events.,"['wifi', 'showers', 'lockers']",4.0,265,219,32,22,"Limited facilities, not worth the price."
Perfect place for local community sports games.,"['firstaid', 'cafe', 'parking']",3.3,173,143,3,91,Amenities were not as advertised.
Spacious and clean turf for large tournaments.,"['parking', 'locker']",4.4,256,411,3,63,Amazing experience with great amenities!
"Turf with premium-quality grass, suitable for all types of sports.","['firstaid', 'cafe', 'parking']",1.6,87,255,38,61,Excellent services and well-organized.
Ideal turf for school tournaments and local leagues.,"['wifi', 'locker', 'parking', 'cafe']",4.2,121,466,39,25,Lacks proper lighting for evening games.
Well-maintained turf with well-designed infrastructure.,"['parking', 'firstaid', 'cafe']",1.8,182,306,16,58,"Limited facilities, not worth the price."
Well-maintained turf with well-designed infrastructure.,"['parking', 'locker', 'wifi']",1.7,225,489,36,71,Perfect for weekend games with friends.
Spacious and clean turf for large tournaments.,"['parking', 'firstaid', 'cafe']",1.7,139,207,38,42,Lacks proper lighting for evening games.
Budget turf for beginners and recreational sports.,"['wifi', 'parking', 'restroom']",4.3,195,350,28,69,Highly recommended for sports enthusiasts.
Spacious turf for local games and friendly matches.,"['parking', 'firstaid', 'cafe']",3.7,247,469,35,62,Turf was too crowded and noisy.
Compact yet versatile turf with well-maintained facilities.,"['wifi', 'parking', 'restroom']",3.1,86,433,37,38,"Good value for the price, will book again."
Perfect for family get-togethers with all basic amenities.,"['parking', 'locker', 'wifi']",2.4,109,229,38,88,Excellent services and well-organized.
Versatile turf for school and community events.,"['parking', 'locker', 'wifi']",4.5,225,392,49,70,Amenities were not as advertised.
Turf with amazing pitch quality and friendly staff.,"['wifi', 'locker', 'parking', 'cafe']",2.6,254,119,36,30,The turf is well-maintained and clean.
Budget-friendly option with basic amenities.,"['parking', 'firstaid', 'cafe']",4.3,77,381,34,31,Excellent services and well-organized.
Convenient turf with all basic amenities.,"['firstaid', 'cafe', 'parking']",2.8,246,384,6,93,Amazing experience with great amenities!
Convenient turf with all basic amenities.,"['parking', 'locker', 'wifi']",2.5,254,100,26,27,"Enjoyed playing here, will come back."
"Turf with premium-quality grass, suitable for all types of sports.","['wifi', 'cafe', 'firstaid']",2.9,130,218,27,43,Parking is limited and inconvenient.
Stylish turf with relaxing environment.,"['firstaid', 'cafe', 'parking']",2.2,163,134,21,60,"Good value for the price, will book again."
Newly installed turf with great maintenance.,"['restroom', 'locker', 'showers']",4.0,89,297,13,55,"Needs improvement, not up to expectations."
Premium turf for corporate team-building events.,"['restroom', 'locker', 'showers']",3.0,94,344,6,91,"Limited facilities, not worth the price."
"Turf with premium grass, suitable for all types of games.","['restroom', 'locker', 'showers']",1.9,273,158,36,74,"Good value for the price, will book again."
Beautiful turf for family sports days and activities.,"['wifi', 'parking', 'restroom']",4.6,111,424,21,28,"Limited facilities, not worth the price."
Ideal turf for school tournaments and local leagues.,"['parking', 'locker']",2.5,142,260,4,66,"Good value for the price, will book again."
Premium turf with modern facilities and professional-grade grass.,"['parking', 'firstaid', 'cafe']",3.2,164,278,1,34,Amenities were not as advertised.
Newly renovated turf with modern facilities.,"['restroom', 'locker', 'showers']",4.6,235,305,26,67,Great location with easy parking access.
"Good location, well-maintained turf with affordable rates.","['restroom', 'firstaid', 'cafe', 'wifi']",3.5,116,111,20,61,"Limited facilities, not worth the price."
Professional-grade turf with excellent drainage system.,"['parking', 'locker', 'wifi']",1.5,105,375,37,79,Highly recommended for sports enthusiasts.
"Simple turf, good for friendly games and casual matches.","['wifi', 'locker', 'parking', 'cafe']",4.8,89,280,14,89,"Enjoyed playing here, will come back."
